# Histogram data for LaTeX/PGFPlots
# Generated from: case3d Reconstruction Error Histogram
# Total samples: 3802693632
# Mean: 8.363393e-03, Std: 1.031792e-02
# Bin_center Density
7.384516e-02 1.194752e-01
7.422483e-02 1.173044e-01
7.460450e-02 1.113353e-01
7.498416e-02 1.128245e-01
7.536383e-02 1.112778e-01
7.574350e-02 1.088778e-01
7.612316e-02 1.077647e-01
7.650283e-02 1.018558e-01
7.688250e-02 1.039088e-01
7.726216e-02 1.021994e-01
7.764183e-02 1.005468e-01
7.802150e-02 9.898348e-02
7.840116e-02 9.377692e-02
7.878083e-02 9.634384e-02
7.916050e-02 9.459077e-02
7.954016e-02 9.341052e-02
7.991983e-02 9.195944e-02
8.029950e-02 8.645990e-02
8.067916e-02 8.918058e-02
8.105883e-02 8.775166e-02
8.143850e-02 8.639271e-02
8.181816e-02 8.536206e-02
8.219783e-02 8.022200e-02
8.257750e-02 8.239619e-02
8.295716e-02 8.168831e-02
8.333683e-02 8.111689e-02
8.371650e-02 7.931464e-02
8.409616e-02 7.470375e-02
8.447583e-02 7.717370e-02
8.485550e-02 7.614513e-02
8.523516e-02 7.537908e-02
8.561483e-02 7.359138e-02
8.599450e-02 6.870897e-02
8.637416e-02 7.124403e-02
8.675383e-02 7.026187e-02
8.713350e-02 6.881980e-02
8.751316e-02 6.797963e-02
8.789283e-02 6.309930e-02
8.827250e-02 6.563089e-02
8.865216e-02 6.459263e-02
8.903183e-02 6.353081e-02
8.941150e-02 6.251541e-02
8.979116e-02 5.828547e-02
9.017083e-02 6.065152e-02
9.055050e-02 5.968598e-02
9.093016e-02 5.869759e-02
9.130983e-02 5.503007e-02
9.168950e-02 5.670556e-02
9.206916e-02 5.635370e-02
9.244883e-02 5.490886e-02
9.282850e-02 5.445172e-02
9.320816e-02 5.092758e-02
9.358783e-02 5.288428e-02
9.396750e-02 5.161883e-02
9.434716e-02 5.154749e-02
9.472683e-02 5.092550e-02
9.510650e-02 4.756828e-02
9.548616e-02 4.919183e-02
9.586583e-02 4.866958e-02
9.624550e-02 4.777746e-02
9.662516e-02 4.747547e-02
9.700483e-02 4.437038e-02
9.738450e-02 4.617955e-02
9.776416e-02 4.584431e-02
9.814383e-02 4.502977e-02
9.852350e-02 4.457055e-02
9.890316e-02 4.177091e-02
9.928283e-02 4.315480e-02
9.966250e-02 4.264779e-02
1.000422e-01 4.253211e-02
1.004218e-01 4.156866e-02
1.008015e-01 3.871984e-02
1.011812e-01 4.084000e-02
1.015608e-01 4.040225e-02
1.019405e-01 3.979135e-02
1.023202e-01 3.954892e-02
1.026998e-01 3.684625e-02
1.030795e-01 3.867551e-02
1.034592e-01 3.790876e-02
